Code,theta,radius,Method,Epistemology,x,y
UN,45,0.36,hybrid survey,mixed,0.2545584412271571,0.2545584412271571
STI,150,0.62,expert foresight,abductive,-0.536935750346352,0.30999999999999994
WEF,205,0.68,survey+foresight,mixed,-0.616289295184922,-0.28738041798367553
EUR,193,0.76,expert foresight,abductive,-0.7405212492367788,-0.1709628013013374
EY,338,0.88,horizon scan,abductive,0.8159217920187728,-0.3296538022060029
SONAR,322,0.8,horizon scan,abductive,0.6304086028853777,-0.49252918026052656
AXA,226,0.92,survey,inductive,-0.6390857008222774,-0.6617926163115592
ALZ,244,0.9,survey,inductive,-0.39453403211016996,-0.8089146416692502
AON,258,0.92,survey,inductive,-0.191278755552339,-0.8998957926751012
PRO,273,0.94,survey,inductive,0.04919579886836731,-0.9387117626692993
